Document Pair,Score,Text Article 1,Text Article 2
"('255', '362')",0.9440559440559441,"malaysian stock prices surged tuesday on the news that prime minister mahathir mohamad would announce a date for elections on wednesday or thursday , brokers said. iraqis say a u. s. - backed draft oil law will soon be passed to the cabinet for approval after kurds agreed to a compromise revenue - sharing measure. but they say many key sticking points remain unresolved - - and not even addressed - - in the watered - down legislation. the world's first cars with ever replaceable batteries hit the streets of the japanese capital city in a government - funded accident. how frogs that have started sprouting legs out of their mouths or growing new limbs has confounded scientists for over a decade , but now a researcher only a few years out of college believes he has pin identified identified the root root killer : a parasitic tapeworm no bigger than a tick. the inter - american development bank ( idb ) , latin america's main source of multilateral financing , on sunday held its annual meeting in japan with new york china at centre - stage. washington - - the treasury department , in a move with no economic precedent , pushed leading u. s. banks to create a fund to buy up assets in a key segment of the credit market. the capital of.","malaysian stock prices surged tuesday on a news that prime minister mahathir mohamad would announce a date for elections on wednesday or thursday , brokers said. iraqis say a u. s. - backed draft oil law will soon be returned to the cabinet for approval after kurds agreed to a compromise revenue - sharing measure. but they say many key sticking points remain unresolved - - and not even addressed - - in the watered - down legislation. the world's first cars with ever replaceable batteries hit the streets of the japanese capital city in a government - funded attack. why frogs suddenly have started sprouting legs out of their mouths or growing new limbs has confounded scientists for over a decade , but now a researcher only a few years out of college believes he has pinpointed the culprit _ a parasitic tapeworm no bigger than a tick. the inter - american development bank ( idb ) , latin america's main source of multilateral financing , on sunday began its annual meeting in japan with new york china at centre - stage. washington - - the treasury department , in a move with little economic precedent , pushed leading u. s. banks to create a fund to buy up assets in a key segment of the credit market. the uncle of."
"('57', '916')",0.8862876254180602,"japanese electronics company sony corp. is carrying out a major study on the production of colour television sets in an eastern european country , russia , on on mud tuesday. seven palestinians died in infactional fighting monday , including three shot dead in a gun battle between hamas and fatah supporters in a northern virginia hospital ,"" the state hospital officials said. rescuers in west virginia on tuesday retrieved the last remains from a coal mine which was the site of the worst us nuclear disaster in 50 years. last year , after the obama administration issued its national energy policy , the u. s. department of energy came forward with a case study supporting the elimination of restrictions on the oil oil leases. two two houses were reported in in mud thursday after a fire in a small village in in turkey , and police responded. ` cult of the'high school musical'' was claimed a victim. documentary filmmaker michael kopple , who won an academy award'` ` harlan county massacre ,'' about a kentucky miners'strike , and another'` ` american girl ,'' about the hormel foods company in minnesota , is who won the the news ` rock chicks : shut down matthew v. storin , retiring from editor with the boston globe and will be succeeded by martin baron , executive","japanese electronics company sony corporation. has has had a major focus on the production of colour television sets in in across soviet country , russia , on on mud thursday. "" people died in infraction military fighting incidents , including being shot dead in a gunfight by hamas and hamasah fighters in a northern virginia hospital ,"" the state department officials said. "" , the west virginia mud tuesday recovered the last remains of a coal mine which was the site of the worst us nuclear disaster in 50 years. last year , after the obama administration completed its national security budget , the u. s. department of energy came forward with a case , supporting the federal ands on the oil oil leases. two two houses were reported destroyed in mud thursday , and and and a small house in in turkey ,"" officials responded. the cult of the'high school musical'' was claimed a victim. documentary filmmaker james michael carlyle , who won an academy award'` ` harlan ellison ellison ,'' about the kentucky miners'strike , and another'` an american girl ,'' about the hormel foods strike in minnesota , is what won the the following `. award :"" "" matthew j. storin , retired as editor of the boston globe and will be succeeded by martin baron , executive"
"('319', '604')",0.8932584269662921,"' one one. st. .. coventry on the re - day'as a'one one the , the v. the v.'in the world , at home , at the co - up was"" by the '. one one one one one , see for. history. the united states in a. , one one one one one one one one one one and last time , is"" by one - a - '. .. one one to"" . `'''s , , the the situation. .'s s under the one one one one.'s s with ,'by the and , and','' the the u. s. district court court court twenty -'one one one one one one one cream one one one one one , '.'' we don't comply with with one one one cha , serafin , the ,er , and and , ,"" . the all - the wta , , one one one one tennis , and have the according to the's be pages. hr .s. a. a. we have to to. . cream. . cream cream cream cream cream cream cream cream cream. tos.'one one the friends of the america , the bernal , .t ,","' one one. .. ..'on the re - day'as a'one one one , the v. the v.'in the world , at home , at the co - up was"" by the '. one one one one one , see for. history. the united states in a. , one one one one one one one one one one and last time , is"" by one - a - '. .. one one to"" . `'''s , , the the. ..'' s under the one one one one.'' s with ,'by , and , and','' the the u. s. district court court court twenty -'one one one one one one one cream one one one one one , '.'' we don't comply with with one one one cha , serafin , the , and , and and , ,"" . the all - the match , , one one one one tennis , and have the according to the's be. . hr. s. a. a. we have to to. . cream. . cream cream cream cream cream cream cream cream cream. tos.'one of the friends of the america , the bernal ,. t."
"('479', '878')",0.8255813953488372,"( - - , , ( as"" , , ) ,"" fin. ) , tel ""gg ,"" , ( ( (. ) , 1 ( american , ,. . , the , , , , , ( the ) ,"" , , ) ,"" , ( ,. ) , and , ( the , ,. ) , 2 , ( ,"" , , , ) , and , , , ,. richard - , , , , three of , , , , 2 , 200 pounds ( us $ 1 , 000 ; in ) , england ). the ship's. the the america's the company. the submarines , the'no - - - - the - , ) , chief producer. oil , the the all all all all all all all all , jr. ) , co. 1 -"" to to will be , - -'- , , ) , district. , st. "" o. s s , , ro"" - -. - - all all all all all all all all all all. all - , his"" at the"" games. the - children children , - - university , a children all - , , the university , of and and police. .. brena - all all children all dr. tv').","( - - , , ( as"" , , ) ,"" ,. ) , ,"" gg ,"" , ( ( (. . ,"" ( , , ,. . , the , , , , , ( the ) ,"" , , ) ,"" , ( ,. ) , and , (. , ,. ) , 2 , ( ,"" , , , ) , and , , , ,. ( - , , , ,. , , , , , 2 , 200 pounds ( us $ 1 , 000 ;. ) ,. ). the ship's. the the america's the navy. the submarines , the'no - - - - the - , ) , the producer. oil , the. , , , , , all all all , jr. ) , co. ( -"" to what will be , - -'- , , ) , co. , st. "" o. "". , , ro"" - -. - - all all all. all. all all all all. all - , his - at home"" games. the - - children , - - - , a children all - , , the university , of and and police. .. brena - all all - all dr. tv')."
"('379', '624')",0.8496732026143791,"india has not requested the extradition of the president of the tamil nadu separatistist. .. .. . former premier rajiv gandhi , sri lankan president chandrikaaatunga said in new delhi monday. violence in the kenyan capital surged overnight , with at least 20 were killed , including two people found killed in 14. . gun clashes , police on friday. as home to the royal bank of limited ( rbs. , kenya was struck by its fall from grace in the credit crisis - -"" its voters are in no mood to forgive the"" at november's general election. an asterisk will be added in the record of of by nhl goaltender rob roy's s nhl playoff shutdown , and and the los angeles kings feel he has earned that"" in inactivity. the"" will signal on friday is the deadline to sign an accord between between , government. . aircraft makers airbus and boeing will pass the judgment without a delay. "" english verbs , governed by tradition and antiquatedries , were under heavy pressure to obey the modern"" - ed"" rule and regular verb conjugation , according to a report thursday in the journal nature. michael jackson , smoking a cigar , was in in , and looking fit and healthy , was a","he has not requested the new to of as president of the tamil nadu sepramistist. .. .. . former premier indira indira gandhi , and former president chandrikaa botha said in the on monday. violence in the kenyan capital surged overnight , with at least 20 people killed , including two people found killed in the. . violent clashes , police and intervened. as home to the royal bank corporation limited ( rb ). , kenya was struck by as as. , by the financial crisis - -"" its voters are in no way to forgive the"" november year's general election. an aster will will be added in the record made of by nhl president rob roy's"" nhl shut shutdown , and and the los angeles times feel they they earned that"" in inanection. ."" will signal that friday is the deadline to conclude an agreement between parliament , and. .. makers airbus and , will pass the without without a delay. "" irregular verbs , governed by tradition and antiquative uses , are under the rules to avoid the modern"" - ed"" rule and regular verb conjugation , as in a review article in the journal nature. michael jackson , as a child , was in in , and looking fit and healthy , was. ."
"('306', '893')",0.9464882943143813,"the first time world qatar airways flew to. .. all over the country. .. . on friday , the aviation officials said. a moscow court on wednesday indicted two international banks on charges related"" the 2003 failure of the parma milk dairy company - - russia's first in bankruptcy. kyrgyzstan's ousted president kuzbeki , , on thursday he submitted a request to resign , the spokesman for the company said that"" """" the first"" . by friday , the"" said the $ 100 500 million in coffee was securely stored. exhibit. is the reaction of those who believe in american rally ,. is nook. com's s - one racing driver narath karthiker admitted being being disappointed every driver lap completed his final grid position , , , in to 17th place in after opening qualifying for nascar's world pole race. in in friday , the case of atlanta falcons owner michael vick , who has not to facing any federal charges related to dog racing , has given americans an"" "" to to cross"" and criminal justice. a savage pastime is baseball'' most criminalized form of of - - - banned in 50 states , a daniel boone award the second all - winning game of his career , - - a a three - run game.","the first time world qatar airways flight to. .. all over the country. .. . on friday , the aviation officials said. a milan court on wednesday indicted two international banks on charges related"" the 2003 failure of the parmalat dairy company - - russia's first in bankruptcy. kyrgyzstan's ousted president kurmanbeki , , on thursday he submitted a request to resign , a spokesman for the company said that"" """" the protests"" . by friday , the"" said the $ 100 500 million of coffee is securely stored. exhibit a is the reaction of those who believe the american rally ,. is nook. com's s - one racing driver narath karthiker admitted being being disappointed every a laped his final grid position , , , in to 17th place in after opening qualifying for nascar's world pole race. in in friday , the case of atlanta falcons owner michael vick , who has not been face any federal charges related to dog racing , has given americans an"" "" to to cross cross and criminal justice. a savage pastime is baseball's s criminalized form of of - - - banned in 50 states , a daniel boone award the second all - winning game of his career , - - a a three - run shot."
"('508', '595')",0.9730769230769231,"sri lanka's sepakik tamil tiger militants have been invited to to open to peace talks as the country offered a key support to the rebels , held on on wednesday. dozens of russians interacted with people from the caucasus and central asia. .. . last saturday was also also hosted by anti - immigrant and right - wing terrorists. with four dozen people , the every one person was injured. the united states advanced to go to a final rematch with defending champion italy , italy in a dramatic 3 - 2 semi - final in in italy. the united victory win win a 90 - 74 victory. victory at la ravenna , italy italy , 77 - 75. last saturday in the italy. ten people died , and 20 injured sunday. . bomb blast resulted in which the militants , soldiers and police in. injured , italy italy. an article in , the the times , , , ,. "" every over over the 24 hours"" . energy. . they consume a every every hours of energy , every every"" for - hours. nbc entertainment president jeff zucker was praised for"" people telling television what to have made a a summer reality. .. . and worse. .. a barrack , adorned with a children's wedding logo. "" one. .. . cheers.","sri lanka's sepakik tamil tiger militants have been are to to open to peace talks as the country offered a key support to to rebels , held on on wednesday. dozens of russians interacted with people from the caucasus and central asia. .. . last saturday was also also hosted by anti - immigrant and right - wing terrorists. with four dozen people , the every one person was injured. the united states advanced to to to a final rematch with defending champion italy , italy in a dramatic 3 - 2 semi - final in in italy. the united victory win win a 91 - 74 over. victory at la ravenna , italy a , 77 - 75. last saturday in the italy. ten people died , and 20 injured sunday. . bomb blast resulted in which by militants and soldiers and police in. injured , italy italy. an article in , the the times , , , ,. "" every over over the 24 hours"" of energy. they they consume a every every hours of energy , every every"" for - hours. nbc entertainment president jeff zucker was praised for"" people from television what to have made a a summer reality. .. . and worse. .. a barrack , adorned with a children's wedding logo. "" one. .. . cheers."
"('402', '729')",0.9247648902821317,"former president carlos salinas said on thursday he would go on a hunger strike until authorities absolved him of any responsibility for covering up a murder investigation and causing an economic crisis. u. s. regulators would would fine big telecom - equipment maker norte bell , corp. as much as $ 100 million ( euro74. 5 million. for using allegedly false accounting to meet security targets and wall street expectations , according to news reports. relatives of the victims of an air crash that killed polish president lechłczynski and 95 others will leave warsaw for moscow tomorrow at 5 : 30 am ( 153 00 gmt. , the government official s security advisor said. an estimated 16 million americans whose blood sugar levels are higher than normal will likely get the full - blown disease in every decade if they change their diets , federal officials warned wednesday. britain the s finance minister urged countries abroad to work together for a healthier climate to promote economic prosperity , noting his country's success in cutting carbon emissions and economic growth. the government began in 2003 with a $ 2 million loan to help the new department of homeland security to get an intelligence operation up and running. vice president dick cheney disclosed friday that he has been experiencing irregular heart rhythms and will check into a hospital on saturday for tests that he","former president carlos salinas said late thursday he would go on a hunger strike until authorities absolved him of any responsibility for covering up a murder investigation and causing an economic crisis. u. s. regulators plan to fine big telecom - equipment maker nortel networks corp. as much as $ 100 million ( euro74. 9 million ) for using allegedly fraudulent accounting to meet security targets and wall street expectations , according to news reports. relatives of the victims of an air crash that killed polish president lech kaczynski and 95 others will leave warsaw for moscow tomorrow at 5 : 30 pm ( 1530 gmt ) , the government's security office said. an estimated 16 million americans whose blood sugar levels are higher than normal will probably get the full - blown disease within a decade unless they alter their lifestyles , federal officials warned wednesday. britain's finance minister urged countries abroad to work together for a healthier climate to ensure economic prosperity , noting his country's success at cutting carbon emissions without hurting growth. the project started in 2003 with a $ 2 million contract to help the new department of homeland security to get an intelligence operation up and running. vice president dick cheney disclosed friday that he has been experiencing irregular heart rhythms and will check into a hospital on saturday for tests that he"
"('46', '623')",0.9172932330827067,"he was fired six times times tuesday in off in the iola area of northeast texas , the second time in the '. as fighting broke up again on the ground and the the , , of kansas city , the un - representative ( the unfor. was him. he he suspended a north carolina district judge attorney. tuesday after the. that , and millar , , , , , a duke university graduate graduate , was to stay in office for another month. all u - haul and at. s's transportation hub. de gaulle was"" railroad airport , airport , and facilities , and because of was caused by volcanic activity. taos , n. c. - - the driving route picks up up steep stream - filled canyons , passing through 9 , 000 - foot mountain ranges and a high - elevation forest fringed with canyons. the spur butted in the natural wonder of the the serenades , the the peak of the great , , , the natural beauty of the , ,. .. first a woman to walk walk across the pacific ocean saturday after arriving in new york , at the end of a nearly 9 , 000 - kilometre ( 5 , 500 - mile. ). .. s s.'s. a'highway , one of the. '.","the was fired six times times tuesday in off the the iola area of northeast texas , the second time in the '. as fighting broke up again on the ground and the the , , of kansas city , the un - representative ( mike upfor ) said no. he he suspended a north carolina district judge attorney. tuesday after the. that , and millar , , , , , a duke university graduate graduate , was to stay in office for another month. all u - haul and at .s's transportation hub charles deberg was"" railroad airport , airport , and facilities , and because of fire caused by volcanic activity. taos , n. c. - - the driving route picks up up steep stream - filled canyons , passing through 9 , 000 - foot mountain ranges and a high - elevation forest fringed with canyons. the spur endsd in the natural wonder of the the serenades , the the peak of the great , , , the natural heart of the , ,. .. first a woman to walk walk across the pacific ocean saturday after arriving in new new , at the end of a nearly 8 , 000 - kilometre ( 5 , 500 - mile. ,. .. s s.'s. a'highway , one of the the '."
"('84', '458')",0.9667774086378738,"india said that it would be playing a key role in the middle east peace process despite its row with israel over the nuclear non - proliferation treaty ( npt ). the struggling italian national carrier alitalia reported heavy first - quarter losses tuesday as the airline reaches the final stages of a tender bid to go private. missiles fired from a us drone struck a car , killing at least four militants in pakistan's lawless tribal badlands on the afghan border wednesday , security officials said. there comes a time for new new models when a revamp is necessary in the midst of its planned model cycle. malaysian police have detained four thais and a malaysian whose fishing vessel is suspected of involvement in a pirate attack on a japanese tugboat in the malacca strait , a spokesman said friday. the boy was feverish , vomiting , and wouldn't eat. his mother rushed him to a village clinic , suspecting measles , fluph , and one of the other usual childhood ailments found in kenya's central highlands. al _ alou , houston ,. 365 ; lhazalez , arizona ,. 357 ; aurilia , san francisco ,. 356 ; berkman , houston ,. 355 ; lwalk , colorado ,. 347 ; pujols ,","egypt insisted that it would continue playing a key role in the middle east peace process despite its row with israel over the nuclear non - proliferation treaty ( npt ). the struggling italian national carrier alitalia reported heavy first - quarter losses tuesday as the airline reaches the final stages of a tender bid to go private. missiles fired from a us drone targeted a car , killing at least four militants in pakistan's lawless tribal badlands on the afghan border wednesday , security officials said. there comes a time for new new models when a revamp is necessary in the midst of its planned model cycle. malaysian police have detained four thais and a malaysian whose fishing vessel is suspected of involvement in a pirate attack on a japanese tugboat in the malacca strait , a spokesman said friday. the boy was feverish , vomiting , and wouldn't eat. his mother rushed him to a village clinic , suspecting measles , fluph cholera and one of the other usual childhood ailments found in kenya's central highlands. al _ alou , houston ,. 365 ; lgonzalez , arizona ,. 357 ; aurilia , san francisco ,. 356 ; berkman , houston ,. 355 ; lwalk , colorado ,. 347 ; pujols ,"
"('80', '875')",0.9146757679180887,"russian inflation fell in february to 11 percent by comparison with the january 2014 average , the lowest rate in in in five months , the government's news news , said. it was quoted the itar - the news news agency. chess champion garry kasparov and allies in russia's s vocal opposition movement announced their new ,. . against putin's government monday , keeping up their own protests with a. . in moscow. russian president dmitry medvedev may travel to to to the funerals of polish president jan stanisław kaczynski and his wife maria , killed in a plane crash in moscow , his speakingss on tuesday. a new york city hotel , , , collapses , fireproofing is broken or fails , structural steel shatters and snaps , windows collapse to collapse , workers in the building die. police officers in a village , in the southwestern ukraine during a dispute over the murder of a local doctor and his wife who were working as doctors , on on on thursday. next thursday , after a british court dismissed a man's claim that he was the ""knowledted son of the late princess margaret , i bobled my imaginary head"" and was walked off the pretend throne. wall street began its friday third quarter with a very positive news monday.","the inflation fell in february to 11 % by comparison with the january 2014 inflation , the lowest rate in russia in six months , the government's news news ,. . it was quoted by itar - the news news agency. chess champion garry kasparov and allies in russia'' s vocal opposition movement announced a new ,. . against putin's government monday , keeping up their own protests with a. . in moscow. russian president dmitry medvedev may travel to russia to the funerals of polish president janos kaczynski and his david putin , killed in a plane crash in moscow , his spokes on tuesday. a new york city building , , , collapses , fireproofing is broken or fails , structural steel shatters and snaps , windows collapse to collapse , workers in the building collapse. police officers in a village , in the southwestern uk during a dispute over the murder of a local doctor and his wife who were working as doctors , on on monday thursday. next day , after a british court dismissed they's claim that he was the"" knowled"" son of the late princess margaret , i bobed my own head"" and then walked off the russian throne. wall street began its friday third quarter with a very positive news monday. . ,"
"('33', '496')",0.9609120521172638,"the philippines on the wednesday rejected philippine president angl santos'appeal for cleme sentence for the worker from la soltemplacion , who is to be hanged for murder a fellow maid and a todd child. hamas , also expressed its support for palestinian president mahmoud abbas after his fatahah's loss of support to hamas , claiming he is the sole leader of the hamas. a bangladeshi special court convicted and jailed 23 border guards on sunday due relation to a military mutiny last year , leaving 74 people dead , the state prosecutor said. the internet - up boom that drew money - seeking from and computer companies has officially turned into the country's biggest bust bust"" . the german airline lufthan air on friday took an to the swiss carrier. .. major shareholders in the swiss carrier approved a deal worth up to 100 million euros ( 408 million dollars. . pakistan's government has leaked several copies of a document it says , that former prime sharif nawaz sharif agreed in 2000 to stay out of the country for 10 years , a move to set up a showdown over whether he can continue to contest in upcoming elections. struggling telecommunications equipment maker lucet technologies inc. , with its wide - sweeping reorganizations , is rapidly rapidlyamping its its internal business. into two.","the singapore on ash wednesday rejected philippine president fidel santos'appeal for cleme sentence for the worker from la soltemplacion , who is to be hanged for murdering a fellow maid and a toddler. hamas , also expressed its support behind palestinian president mahmoud abbas after his fatahah's loss of support to hamas , claiming he is the sole leader of the palestinians. a bangladeshi special court convicted and jailed 57 border guards on sunday in for to a military mutiny last year , leaving 74 people dead , the state prosecutor said. the internet - up boom that drew money - seeking from and computer companies has officially turned into the country's biggest busting"" . the german airline lufthan air on friday took an ill the swiss carrier. .. major shareholders in the swiss carrier approved a deal worth up to 100 million euros ( 408 million dollars ). pakistan's government has leaked several copies of a document it says , that former prime sharif nawaz sharif agreed in 2000 to stay out of the country for 10 years , a move to set up a showdown over whether he can continue to participate in upcoming elections. struggling telecommunications equipment maker lucent technologies inc. , with its wide - sweeping reorganizations , is rapidly dec restructuringing its its internal business. into two main"
"('170', '367')",0.8120567375886525,"the airlines system ( inc. and the airline airlinesoft. "" ) cinelnel are"" for"" in in - depth dialogue between the two companies ,"" said the economist. "" they's , financial institutions , cielo banks , banks banks', the a new economy and keep prices steady to help support an"" emerging"" european group b ,"" with new imports , the jews on friday. "" the lebanese marched on the main street on sunday for a a rally against against legalisation of the"" well - established sect of"" ."" against chairs and tables , with the and pair of sunglasses , against the the the life of a well - chest man , used. "". today , as a member of america's national group , the newsweb of america , in home and away. "" one of three"" members of america have not"" defended. .'s case"" against israel was once again"" not and , biased , and and is biased. "" and co - authored : a new , of anti - israel , the los angeles times report - on - volume 1. among them , the the one attacks on the. .. .. .. .. .. ."" . every day"" against"" america. "" - 1. 500 words","united airlines system ( sas. and the french airline luft .nelnelnelnel are"" for"" in in - depth dialogue between the airline companies ,"" said the newsweek. the world's largest financial bank , cielors , will make', on the new economy and keep prices steady to help contain an"" emerging"" european group blight"" with foreign imports , the jews on friday. "" the lebanese marched to the the street on sunday for a mass rally for the radicalisation of a"" long - established sect of"" ."" against on and tables , wearing a the of of sunglasses , they the the the and of a well - chested , to to"" . today , a a member of america's s generation , the cyberweb of america is in two and away. one one of three"" generations of america have staunchly defended that america's case case against israel was once again"" by a young lawyer , and and is biased. "" and co - up : a a grathing anti - up , the los angeles police report - one - july 1. among them , the the one attacks on the. .. sock. .. .. def. . million in a day"" life in america america"" - 1. 500 words"
"('285', '949')",0.9709090909090909,"five people have died died at least two people were missing after a terrorist earthquake in eastern sicily , and and on monday. a beleaguered palestinian president mahmoud abbas declared a state of emergency and disbanded the hamas - led unity government after the islamic militant group force ravished its political political rivals and effectively took control of the gaza strip on thursday. israel's landmark polls , which look certain to win president abdullah al - beshir's re - election , failed to reach international standards but should win world recognition , observers said on saturday. most americans think the mason - dixon line is a divide divide between north and south ; between freedom and slavery. but the line's origin has nothing to do with slavery. in fact , the historical stone line of the line is a bloody battle , dating back in about millennia miles between proprietors an earthquake measuring 5. 1 on the richter scale in the lower middle reaches of new york on , but there were no immediate reports of violence. people all over the planet are on the move , and whether anyone likes it or not , with each coming year western nations will become more economically diverse and ethnically diverse. but is that a good or a bad thing? according to most american politicians - - even colorado's anti - immigrant zealo.","five people have died died at least two people were missing after a terrorist earthquake in eastern sicily , and collapsed on monday. a beleaguered palestinian president mahmoud abbas declared a state of emergency and disbanded the hamas - led unity government after the islamic militant group hamas ravished its political political rivals and effectively took control of the gaza strip on thursday. israel's landmark polls , which look certain to win president abdullah al - beshir's re - election , failed to reach international attention but should win world recognition , observers said on saturday. most americans think the mason - dixon line is a divide divide between north and south ; between freedom and slavery. but the line's origin has nothing to do with slavery. in fact , the historical stone line of the line is a bloody battle , dating back in about 100. between homesteads an earthquake measuring 5. 1 on the richter scale in the lower middle reaches of new york city , but there were no immediate reports of violence. people all over the planet are on the move , and whether anyone likes it or not , with each coming year western nations will become more economically diverse and ethnically diverse. but is that a good or a bad thing? according to most american politicians - - even colorado's anti - immigrant zeal."
"('323', '765')",0.8840579710144928,"the avalanches wiped out the world's world cup downhill here on sunday , forcing them to re - jive the world skiing calendar. one official says rockets fired fired at the , ,. the president but was was fired and no one was injured. the , today , and and the conservative fideszsz , won the first round of of debate , on on monday to bring hungary back to economic growth and help reduce the budget deficit. students and and families , the their stories for the the. .. in scholarship that goes unclaimed every year. "" some people are are all over , some they say , the it is not much as as it used to be. some 7 , 000 drivers , students , journalists and government souffeurs were killed the last time in france by automatic fire , but escaped paying a fine , including said le canard en routeg on wednesday. elias j. , jr. , iii , a former college president who was a an advocate for the nation's s s colleges. "" , and a died of theio and zonationtion at his home in paris. the fires persisted in in the west bank and gaza strip , further cloudinging. a week of testbed for an israeli - led cease - fire. famine.","the avalanches wiped out the world's world cup downhill here on sunday , and due to ji - jive the world skiing calendar. the official , rockets fired fired at the president. . the president but was was fired. no one was injured. the , today , , and the new fideszsz , won the first round , of 2008 , on on monday to bring hungary back to economic growth and to reduce the budget deficit. students and their families , the their stories , the the. .. in scholarship that goes unclaimed every year. "" the the years are all over , some they say , the it is not much as what it used to be. "" 7 , 000 drivers , students , journalists and government souffeurs were killed the day , was , by automatic fire , but escaped paying a fine , including said le canard aro , on wednesday. elias a. , jr. , iii , a former college professor who was a strong advocate for"" children'''s colleges. "" , he , died of the explosion and zonationtion at his home in paris. the fire persisted in in the west bank and gaza strip , further wring. a nuclear nuclear test ,. an israeli - led cease - fire. famine. ."
"('254', '943')",0.9146757679180887,"china posted a foreign trade surplus of 4. 46 billion dollars in the first two months of this year , following a dramatic surge in the export of finished products , a report said tuesday. deposed palestinian prime minister ismail haniyeh said early friday that president mahmoud abbas'decision to fire him and his government over gaza violence was"" hasty ,"" pledging to maintain the unity team. most were dressed in black , others wore regional costumes or military uniforms , but the thousands of people who gathered in warsaw were united in grief for the victims of poland's air crash disaster. the former u. s. ambassador to israel who managed the sensitive post for president bush and president bill clinton called friday for an international takeover of the west bank and gaza strip as a first step toward creation of an independent nation of palestine. european union leaders gather for their two - day spring summit here on tuesday at which they will seek ways to give a shot in the arm to the bloc's struggling economy. lawyers for the bush administration encountered a federal appeals court judge that was deeply skeptical of a blanket claim that the government's surveillance efforts can be challenged in court because the litigation might reveal state secrets. a visibly banged - up mayor paul schell vowed to continue taking his agenda into the streets despite being bashed.","china had a foreign trade surplus of 1. 5 billion usd in the first two months of the year , following a dramatic surge in the export of finished products , the report said tuesday. former palestinian prime minister minister haniyeh said early friday that president mahmoud abbas'decision to fire him from the government over gaza violence was"" hasty ,"" pl promising to maintain the unity team. most were dressed in black , some wore flag and as by uniforms , but the thousands of people who gathered in warsaw were united in grief for the victims of poland's plane crash disaster. the former u. s. ambassador to israel had managed a sensitive post for weeks , and president barack obama called friday"" an international takeover of the west bank and gaza strip as the first step toward creation of an independent state of palestine. european union leaders called for their two - day spring summit here on tuesday at which they will seek ways to give a shot in the arm to the bloc's struggling economy. lawyers for the bush administration and a federal appeals court judge that was deeply skeptical of a blanket claim that the government's surveillance efforts can be challenged in court because the litigation might reveal state secrets. a recently - - up journalist paul schell vowed to continue pushing his agenda into the streets until being bashed."
"('133', '210')",0.8436363636363636,". , has has its reputation for toughness. .. .. . , , that they will back the money to go to to - make as the result of a counter - strike. patrick stewart and the o'vann'' were signed to play by the national hockey league. "" ,"" the african americans were the first and team of u u. s. hockey'' s list of restocking teams. indian premier league ,. . , players'progress rise from india was much quicker and more spectacular than his own rise to become"" world cricket's most powerful figures. "" , , ,'s gordon"" , , , , of the team , that have sent thousands miles out to the neighborhood and tried to inflictflict taxes. the mayor of the women's s , , said that , will stand as a strike team in the arizona territory's upcoming leadership election. the los angeles times'rhode island reporter said that reality shows such as"" jack in the jack"" would be"" over - worthy"" if the writers guild were not for a strike. in fact ,"" dancing in the stars ,"" unlike many reality shows , would fall under the guild rules , even even if not the same changes were they made post - o's day.","the , has has its reputation for toughness to. .. .. , , that they will back the move to to to to to make as the winner of a new - strike. patrick stewart and james law'vandyk were selected as to to by the national hockey league. season ,"" the african americans were the and and team in u u. s. hockey's s ritual of restocking teams. indian premier league ,. . , players's fall from grace was much quicker and more spectacular than his his rise to become"" world cricket's most powerful figures. "" , , sports's gordon"" , , , , of the pieces , that have sent 100 miles through the the neighborhood and millions to in in property taxes. the leader of the sports's s , , said said he will stand as a strike vote in the arizona territory's upcoming leadership election. the los angeles times'rhode island news said that reality shows such as"" dancing the the jack"" would be"" strike - proof"" if the writers guild were not for a strike. in fact ,"" dancing in the stars ,"" unlike many reality shows , would operate under a guild contract , but but if not the same they were made made post - o's day -"
"('12', '830')",0.8415492957746479,"america's rapidly - growing growing economy ,. . and is good for us , and it is is the open. .. , and us officials are here wednesday. - roddick has won four times of the serve tournament , beating radek stepanek of the netherlands , 6 - 4 , 6 - 5 , , to the third round of the men's club open - am tournament. . - david he became on board the first global american tour , , in the the pressure of of business deals with china , saying it will"" restructure"" and the america. the , calls for the. , october october , 2002 , are , today the words of the. global. to deal. the. , has passed a new drug law in order to to prohibit prescriptions from being addicted to or low - cost generic versions of prescription drugs. now everything is from the home of of designer david puig. and ,. .. or hasig. dodig. you can see his interior design work is going on. the prime rib kitchen and dining room. patrick rafter moved to the wimbledon championships , defeating michael federer in straight sets wednesday and setting up his his match with andre agassi. the pair of the ju champions will play in the 2018 asian championships.","america's rapidly - growing trade surplus ,. . and is good for us , and it is now the open to the us , and us officials are here wednesday. - roddickdick won four times of his serve tuesday , beating radek stepanek of the. , 6 - 4 , 6 - 5 , , to the third round of the men's club open - am championships. auto - daimler became on board the latest global american giant , , in the the pressure on its business ties with china , saying it would"" restructure"" and the america. the , calls for the tuesday , april 5 , 2002 , are , today the part of the new global. to deal. the. , has introduced a a a law in parliament to to prohibit domestic firms from being or to or low - cost generic versions of prescription drugs. now everything is from the home of fashion designer david hartig. and ,ig. or has been. hartigig you can see his interior design business is going on. his prime rib his and dining room. patrick rafter moved to the wimbledon semifinals , beating theeer in straight sets wednesday and setting up his his match with andre agassi. a pair of the costaries will play the the upcoming asian badminton championships"
